"objectid","event_id","event_date","event_year","event_month","event_dow","event_hour","event_type","division","occurrence_created","apprehension_made","hood_158","neighbourhood_158"
18,1253860,"2014-01-01",2014,"January","Wednesday",3,"Suicide-related","D51","No","No","072","Regent Park (72)"
19,1255558,"2014-01-01",2014,"January","Wednesday",12,"Person in Crisis","D51","No","No","074","North St.James Town (74)"
20,1256445,"2014-01-01",2014,"January","Wednesday",16,"Person in Crisis","D31","No","No","025","Glenfield-Jane Heights (25)"
21,1255020,"2014-01-01",2014,"January","Wednesday",10,"Overdose","D53","No","No","098","Rosedale-Moore Park (98)"
22,1254641,"2014-01-01",2014,"January","Wednesday",7,"Person in Crisis","D32","No","No","039","Bedford Park-Nortown (39)"
23,1254675,"2014-01-01",2014,"January","Wednesday",8,"Person in Crisis","D32","No","No","151","Yonge-Doris (151)"
24,1253204,"2014-01-01",2014,"January","Wednesday",1,"Person in Crisis","D51","No","No","073","Moss Park (73)"
25,1256454,"2014-01-01",2014,"January","Wednesday",16,"Suicide-related","D41","Yes","No","123","Cliffcrest (123)"
26,1255414,"2014-01-01",2014,"January","Wednesday",12,"Person in Crisis","D53","No","No","097","Yonge-St.Clair (97)"
27,1253724,"2014-01-01",2014,"January","Wednesday",2,"Suicide-related","D43","No","No","134","Highland Creek (134)"
28,1254168,"2014-01-01",2014,"January","Wednesday",4,"Suicide-related","D51","No","No","071","Cabbagetown-South St.James Town (71)"
29,1255961,"2014-01-01",2014,"January","Wednesday",14,"Person in Crisis","D33","No","No","048","Hillcrest Village (48)"
30,1254978,"2014-01-01",2014,"January","Wednesday",10,"Person in Crisis","D51","No","No","073","Moss Park (73)"
31,1256241,"2014-01-01",2014,"January","Wednesday",15,"Suicide-related","D43","No","No","134","Highland Creek (134)"
32,1257395,"2014-01-01",2014,"January","Wednesday",20,"Person in Crisis","D51","No","No","073","Moss Park (73)"
33,1253685,"2014-01-01",2014,"January","Wednesday",2,"Suicide-related","D51","No","No","168","Downtown Yonge East (168)"
34,1256052,"2014-01-01",2014,"January","Wednesday",15,"Suicide-related","D14","No","No","079","University (79)"
35,1255151,"2014-01-01",2014,"January","Wednesday",10,"Person in Crisis","D53","No","No","173","North Toronto (173)"
36,1253013,"2014-01-01",2014,"January","Wednesday",NA,"Suicide-related","D11","No","No","088","High Park North (88)"
37,1254174,"2014-01-01",2014,"January","Wednesday",4,"Overdose","D14","No","No","079","University (79)"
38,1258014,"2014-01-01",2014,"January","Wednesday",23,"Overdose","D22","Yes","No","159","Etobicoke City Centre (159)"
39,1257677,"2014-01-01",2014,"January","Wednesday",22,"Overdose","D22","Yes","No","158","Islington (158)"
40,1253185,"2014-01-01",2014,"January","Wednesday",NA,"Suicide-related","D23","Yes","Yes","007","Willowridge-Martingrove-Richview (7)"
41,1255191,"2014-01-01",2014,"January","Wednesday",11,"Person in Crisis","D14","No","No","084","Little Portugal (84)"
42,1255264,"2014-01-01",2014,"January","Wednesday",11,"Person in Crisis","D32","Yes","No","037","Willowdale West (37)"
43,1254313,"2014-01-01",2014,"January","Wednesday",5,"Suicide-related","D32","Yes","No","036","Newtonbrook West (36)"
44,1254506,"2014-01-01",2014,"January","Wednesday",6,"Overdose","D43","Yes","Yes","136","West Hill (136)"
45,1256321,"2014-01-01",2014,"January","Wednesday",16,"Person in Crisis","D23","Yes","Yes","002","Mount Olive-Silverstone-Jamestown (2)"
46,1255621,"2014-01-01",2014,"January","Wednesday",13,"Suicide-related","D12","No","No","110","Keelesdale-Eglinton West (110)"
47,1253841,"2014-01-01",2014,"January","Wednesday",3,"Overdose","D11","No","No","088","High Park North (88)"
48,1254526,"2014-01-01",2014,"January","Wednesday",6,"Overdose","D53","No","No","095","Annex (95)"
49,1257308,"2014-01-01",2014,"January","Wednesday",20,"Person in Crisis","D13","No","No","031","Yorkdale-Glen Park (31)"
50,1254077,"2014-01-01",2014,"January","Wednesday",4,"Person in Crisis","D54","No","No","054","O'Connor-Parkview (54)"
51,1254536,"2014-01-01",2014,"January","Wednesday",6,"Overdose","D14","No","No","081","Trinity-Bellwoods (81)"
52,1261079,"2014-01-02",2014,"January","Thursday",14,"Overdose","D11","Yes","No","086","Roncesvalles (86)"
53,1258426,"2014-01-02",2014,"January","Thursday",2,"Person in Crisis","D41","No","No","126","Dorset Park (126)"
54,1263618,"2014-01-02",2014,"January","Thursday",22,"Suicide-related","D54","No","No","057","Broadview North (57)"
55,1263445,"2014-01-02",2014,"January","Thursday",21,"Person in Crisis","D23","No","No","008","Humber Heights-Westmount (8)"
56,1263210,"2014-01-02",2014,"January","Thursday",20,"Person in Crisis","D41","No","No","122","Birchcliffe-Cliffside (122)"
57,1263367,"2014-01-02",2014,"January","Thursday",21,"Suicide-related","D52","Yes","Yes","170","Yonge-Bay Corridor (170)"
58,1259924,"2014-01-02",2014,"January","Thursday",10,"Suicide-related","D11","No","No","090","Junction Area (90)"
59,1258409,"2014-01-02",2014,"January","Thursday",2,"Person in Crisis","D42","No","No","129","Agincourt North (129)"
60,1262946,"2014-01-02",2014,"January","Thursday",19,"Suicide-related","D41","No","No","122","Birchcliffe-Cliffside (122)"
61,1259824,"2014-01-02",2014,"January","Thursday",10,"Person in Crisis","D14","No","No","085","South Parkdale (85)"
62,1261063,"2014-01-02",2014,"January","Thursday",14,"Person in Crisis","D32","No","No","050","Newtonbrook East (50)"
63,1262033,"2014-01-02",2014,"January","Thursday",16,"Suicide-related","D42","No","No","147","L'Amoreaux West (147)"
64,1258203,"2014-01-02",2014,"January","Thursday",NA,"Person in Crisis","D22","Yes","Yes","020","Alderwood (20)"
65,1262934,"2014-01-02",2014,"January","Thursday",19,"Person in Crisis","D32","No","No","032","Englemount-Lawrence (32)"
66,1259370,"2014-01-02",2014,"January","Thursday",9,"Person in Crisis","D51","No","No","167","Church-Wellesley (167)"
67,1263994,"2014-01-02",2014,"January","Thursday",23,"Person in Crisis","D31","No","No","154","Oakdale-Beverley Heights (154)"
68,1258567,"2014-01-02",2014,"January","Thursday",3,"Person in Crisis","D51","No","No","166","St Lawrence-East Bayfront-The Islands "
69,1262391,"2014-01-02",2014,"January","Thursday",17,"Person in Crisis","D53","Yes","Yes","098","Rosedale-Moore Park (98)"
70,1263038,"2014-01-02",2014,"January","Thursday",20,"Suicide-related","D52","Yes","Yes","170","Yonge-Bay Corridor (170)"
71,1260262,"2014-01-02",2014,"January","Thursday",11,"Person in Crisis","D11","Yes","Yes","087","High Park-Swansea (87)"
72,1258963,"2014-01-02",2014,"January","Thursday",7,"Suicide-related","D41","Yes","Yes","120","Clairlea-Birchmount (120)"
73,1258363,"2014-01-02",2014,"January","Thursday",1,"Person in Crisis","D54","No","No","066","Danforth (66)"
74,1262782,"2014-01-02",2014,"January","Thursday",19,"Suicide-related","D41","No","No","122","Birchcliffe-Cliffside (122)"
75,1258570,"2014-01-02",2014,"January","Thursday",3,"Person in Crisis","D42","No","No","116","Steeles (116)"
76,1261115,"2014-01-02",2014,"January","Thursday",14,"Suicide-related","D32","Yes","Yes","034","Bathurst Manor (34)"
77,1260816,"2014-01-02",2014,"January","Thursday",13,"Person in Crisis","D43","Yes","No","123","Cliffcrest (123)"
78,1261887,"2014-01-02",2014,"January","Thursday",16,"Overdose","D55","No","No","069","Blake-Jones (69)"
79,1262965,"2014-01-02",2014,"January","Thursday",19,"Suicide-related","D11","No","No","086","Roncesvalles (86)"
80,1260683,"2014-01-02",2014,"January","Thursday",12,"Suicide-related","D42","Yes","Yes","129","Agincourt North (129)"
81,1258149,"2014-01-02",2014,"January","Thursday",NA,"Person in Crisis","D55","No","No","063","The Beaches (63)"
82,1260872,"2014-01-02",2014,"January","Thursday",13,"Person in Crisis","D51","No","No","166","St Lawrence-East Bayfront-The Islands "
83,1262945,"2014-01-02",2014,"January","Thursday",19,"Person in Crisis","D41","No","No","122","Birchcliffe-Cliffside (122)"
84,1260580,"2014-01-02",2014,"January","Thursday",12,"Person in Crisis","D14","Yes","Yes","078","Kensington-Chinatown (78)"
85,1261729,"2014-01-02",2014,"January","Thursday",15,"Person in Crisis","D14","Yes","Yes","081","Trinity-Bellwoods (81)"
86,1259094,"2014-01-02",2014,"January","Thursday",8,"Person in Crisis","D55","No","No","070","South Riverdale (70)"
87,1260932,"2014-01-02",2014,"January","Thursday",13,"Suicide-related","D23","No","No","001","West Humber-Clairville (1)"
88,1260582,"2014-01-02",2014,"January","Thursday",12,"Person in Crisis","D13","No","No","108","Briar Hill-Belgravia (108)"
89,1263968,"2014-01-02",2014,"January","Thursday",23,"Suicide-related","D32","Yes","Yes","155","Downsview (155)"
90,1261124,"2014-01-02",2014,"January","Thursday",14,"Person in Crisis","D52","No","No","168","Downtown Yonge East (168)"
91,1260428,"2014-01-02",2014,"January","Thursday",12,"Person in Crisis","D41","Yes","Yes","126","Dorset Park (126)"
92,1262887,"2014-01-02",2014,"January","Thursday",19,"Person in Crisis","D41","Yes","Yes","122","Birchcliffe-Cliffside (122)"
93,1263193,"2014-01-02",2014,"January","Thursday",20,"Person in Crisis","D55","No","No","063","The Beaches (63)"
94,1262678,"2014-01-02",2014,"January","Thursday",18,"Overdose","D32","Yes","Yes","037","Willowdale West (37)"
95,1262001,"2014-01-02",2014,"January","Thursday",16,"Suicide-related","D22","Yes","Yes","016","Stonegate-Queensway (16)"
96,1261342,"2014-01-02",2014,"January","Thursday",14,"Suicide-related","D22","Yes","No","016","Stonegate-Queensway (16)"
97,1260647,"2014-01-02",2014,"January","Thursday",12,"Suicide-related","D12","No","No","113","Weston (113)"
98,1262993,"2014-01-02",2014,"January","Thursday",19,"Overdose","D12","Yes","No","111","Rockcliffe-Smythe (111)"
99,1258533,"2014-01-02",2014,"January","Thursday",3,"Person in Crisis","D52","No","No","098","Rosedale-Moore Park (98)"
100,1258167,"2014-01-02",2014,"January","Thursday",NA,"Suicide-related","D41","Yes","No","121","Oakridge (121)"
101,1261861,"2014-01-02",2014,"January","Thursday",16,"Person in Crisis","D11","No","No","088","High Park North (88)"
102,1266527,"2014-01-03",2014,"January","Friday",11,"Suicide-related","D53","No","No","174","South Eglinton-Davisville (174)"
103,1269035,"2014-01-03",2014,"January","Friday",18,"Suicide-related","D51","No","No","167","Church-Wellesley (167)"
104,1266078,"2014-01-03",2014,"January","Friday",10,"Person in Crisis","D32","Yes","No","036","Newtonbrook West (36)"
105,1268053,"2014-01-03",2014,"January","Friday",15,"Person in Crisis","D53","Yes","Yes","099","Mount Pleasant East (99)"
106,1266396,"2014-01-03",2014,"January","Friday",11,"Suicide-related","D14","No","No","095","Annex (95)"
107,1269883,"2014-01-03",2014,"January","Friday",21,"Person in Crisis","D32","No","No","036","Newtonbrook West (36)"
108,1264552,"2014-01-03",2014,"January","Friday",3,"Person in Crisis","D32","Yes","Yes","035","Westminster-Branson (35)"
109,1265243,"2014-01-03",2014,"January","Friday",7,"Suicide-related","D43","No","No","136","West Hill (136)"
110,1269950,"2014-01-03",2014,"January","Friday",21,"Person in Crisis","D51","No","No","071","Cabbagetown-South St.James Town (71)"
111,1266504,"2014-01-03",2014,"January","Friday",11,"Suicide-related","D12","No","No","113","Weston (113)"
112,1266651,"2014-01-03",2014,"January","Friday",12,"Person in Crisis","D51","Yes","Yes","167","Church-Wellesley (167)"
113,1270426,"2014-01-03",2014,"January","Friday",23,"Suicide-related","D54","Yes","Yes","058","Old East York (58)"
114,1265907,"2014-01-03",2014,"January","Friday",9,"Person in Crisis","D32","No","No","151","Yonge-Doris (151)"
115,1268227,"2014-01-03",2014,"January","Friday",16,"Person in Crisis","D54","No","No","054","O'Connor-Parkview (54)"
116,1268699,"2014-01-03",2014,"January","Friday",17,"Person in Crisis","D31","No","No","154","Oakdale-Beverley Heights (154)"
117,1269896,"2014-01-03",2014,"January","Friday",21,"Person in Crisis","D42","No","No","130","Milliken (130)"
118,1269524,"2014-01-03",2014,"January","Friday",20,"Suicide-related","D53","No","No","174","South Eglinton-Davisville (174)"
119,1270441,"2014-01-03",2014,"January","Friday",23,"Person in Crisis","D41","No","No","120","Clairlea-Birchmount (120)"
120,1266525,"2014-01-03",2014,"January","Friday",11,"Person in Crisis","D14","No","No","078","Kensington-Chinatown (78)"
121,1266877,"2014-01-03",2014,"January","Friday",12,"Person in Crisis","D23","Yes","Yes","001","West Humber-Clairville (1)"
122,1266649,"2014-01-03",2014,"January","Friday",12,"Person in Crisis","D14","No","No","085","South Parkdale (85)"
123,1269368,"2014-01-03",2014,"January","Friday",19,"Person in Crisis","D53","No","No","095","Annex (95)"
124,1268733,"2014-01-03",2014,"January","Friday",17,"Person in Crisis","D51","No","No","167","Church-Wellesley (167)"
125,1268946,"2014-01-03",2014,"January","Friday",18,"Person in Crisis","D55","No","No","068","North Riverdale (68)"
126,1269063,"2014-01-03",2014,"January","Friday",18,"Suicide-related","D11","No","No","087","High Park-Swansea (87)"
127,1269016,"2014-01-03",2014,"January","Friday",18,"Suicide-related","D22","Yes","No","159","Etobicoke City Centre (159)"
128,1264781,"2014-01-03",2014,"January","Friday",5,"Person in Crisis","D23","No","No","002","Mount Olive-Silverstone-Jamestown (2)"
129,1265794,"2014-01-03",2014,"January","Friday",9,"Person in Crisis","D12","Yes","Yes","111","Rockcliffe-Smythe (111)"
130,1268693,"2014-01-03",2014,"January","Friday",17,"Person in Crisis","D14","Yes","Yes","164","Wellington Place (164)"
131,1266606,"2014-01-03",2014,"January","Friday",12,"Person in Crisis","D11","Yes","No","087","High Park-Swansea (87)"
132,1266179,"2014-01-03",2014,"January","Friday",10,"Person in Crisis","D12","No","No","030","Brookhaven-Amesbury (30)"
133,1268887,"2014-01-03",2014,"January","Friday",18,"Person in Crisis","D14","No","No","163","Fort York-Liberty Village (163)"
134,1269178,"2014-01-03",2014,"January","Friday",19,"Suicide-related","D52","No","No","164","Wellington Place (164)"
135,1270481,"2014-01-03",2014,"January","Friday",23,"Suicide-related","D23","No","No","001","West Humber-Clairville (1)"
136,1269440,"2014-01-03",2014,"January","Friday",19,"Person in Crisis","D33","Yes","Yes","046","Pleasant View (46)"
137,1269755,"2014-01-03",2014,"January","Friday",21,"Person in Crisis","D53","Yes","Yes","100","Yonge-Eglinton (100)"
138,1269105,"2014-01-03",2014,"January","Friday",18,"Suicide-related","D11","Yes","No","171","Junction-Wallace Emerson (171)"
139,1266280,"2014-01-03",2014,"January","Friday",11,"Suicide-related","D51","No","No","073","Moss Park (73)"
140,1266470,"2014-01-03",2014,"January","Friday",11,"Suicide-related","D51","No","No","073","Moss Park (73)"
141,1266743,"2014-01-03",2014,"January","Friday",12,"Person in Crisis","D14","No","No","083","Dufferin Grove (83)"
142,1270468,"2014-01-03",2014,"January","Friday",23,"Person in Crisis","D55","Yes","Yes","070","South Riverdale (70)"
143,1266375,"2014-01-03",2014,"January","Friday",11,"Suicide-related","D32","No","No","039","Bedford Park-Nortown (39)"
144,1269076,"2014-01-03",2014,"January","Friday",18,"Person in Crisis","D23","No","No","002","Mount Olive-Silverstone-Jamestown (2)"
145,1265021,"2014-01-03",2014,"January","Friday",6,"Person in Crisis","D31","No","No","025","Glenfield-Jane Heights (25)"
146,1274811,"2014-01-04",2014,"January","Saturday",17,"Person in Crisis","D41","Yes","Yes","122","Birchcliffe-Cliffside (122)"
147,1274860,"2014-01-04",2014,"January","Saturday",17,"Person in Crisis","D51","No","No","072","Regent Park (72)"
148,1276158,"2014-01-04",2014,"January","Saturday",22,"Suicide-related","D43","Yes","Yes","134","Highland Creek (134)"
149,1270901,"2014-01-04",2014,"January","Saturday",1,"Person in Crisis","D33","No","No","040","St.Andrew-Windfields (40)"
150,1273308,"2014-01-04",2014,"January","Saturday",13,"Person in Crisis","D51","Yes","Yes","073","Moss Park (73)"
151,1271145,"2014-01-04",2014,"January","Saturday",2,"Person in Crisis","D52","Yes","Yes","170","Yonge-Bay Corridor (170)"
152,1274757,"2014-01-04",2014,"January","Saturday",17,"Person in Crisis","D51","No","No","167","Church-Wellesley (167)"
153,1273159,"2014-01-04",2014,"January","Saturday",12,"Overdose","D43","Yes","Yes","139","Scarborough Village (139)"
154,1276295,"2014-01-04",2014,"January","Saturday",22,"Person in Crisis","D41","No","No","122","Birchcliffe-Cliffside (122)"
155,1275176,"2014-01-04",2014,"January","Saturday",18,"Suicide-related","D33","No","No","047","Don Valley Village (47)"
156,1274725,"2014-01-04",2014,"January","Saturday",17,"Suicide-related","D41","No","No","122","Birchcliffe-Cliffside (122)"
157,1271591,"2014-01-04",2014,"January","Saturday",5,"Person in Crisis","D11","No","No","088","High Park North (88)"
158,1273960,"2014-01-04",2014,"January","Saturday",14,"Person in Crisis","D41","No","No","121","Oakridge (121)"
159,1271378,"2014-01-04",2014,"January","Saturday",3,"Overdose","D33","No","No","053","Henry Farm (53)"
160,1273837,"2014-01-04",2014,"January","Saturday",14,"Person in Crisis","D43","Yes","No","139","Scarborough Village (139)"
161,1273230,"2014-01-04",2014,"January","Saturday",12,"Suicide-related","D14","Yes","No","172","Dovercourt Village (172)"
162,1275265,"2014-01-04",2014,"January","Saturday",19,"Person in Crisis","D23","No","No","008","Humber Heights-Westmount (8)"
163,1271086,"2014-01-04",2014,"January","Saturday",1,"Person in Crisis","D11","No","No","088","High Park North (88)"
164,1274762,"2014-01-04",2014,"January","Saturday",17,"Person in Crisis","D55","Yes","Yes","064","Woodbine Corridor (64)"
165,1271211,"2014-01-04",2014,"January","Saturday",2,"Suicide-related","D52","Yes","Yes","170","Yonge-Bay Corridor (170)"
166,1274804,"2014-01-04",2014,"January","Saturday",17,"Person in Crisis","D14","No","No","085","South Parkdale (85)"
167,1272883,"2014-01-04",2014,"January","Saturday",11,"Suicide-related","D33","No","No","043","Victoria Village (43)"
168,1275048,"2014-01-04",2014,"January","Saturday",18,"Suicide-related","D51","No","No","074","North St.James Town (74)"
169,1270962,"2014-01-04",2014,"January","Saturday",1,"Suicide-related","D31","No","No","027","York University Heights (27)"
170,1273575,"2014-01-04",2014,"January","Saturday",13,"Suicide-related","D31","No","No","022","Humbermede (22)"
171,1272867,"2014-01-04",2014,"January","Saturday",11,"Suicide-related","D42","Yes","Yes","118","Tam O'Shanter-Sullivan (118)"
172,1275993,"2014-01-04",2014,"January","Saturday",21,"Person in Crisis","D33","No","No","043","Victoria Village (43)"
173,1274952,"2014-01-04",2014,"January","Saturday",18,"Person in Crisis","D53","Yes","Yes","098","Rosedale-Moore Park (98)"
174,1275123,"2014-01-04",2014,"January","Saturday",18,"Person in Crisis","D14","Yes","Yes","085","South Parkdale (85)"
175,1275284,"2014-01-04",2014,"January","Saturday",19,"Suicide-related","D52","Yes","No","170","Yonge-Bay Corridor (170)"
176,1275897,"2014-01-04",2014,"January","Saturday",21,"Person in Crisis","D51","No","No","072","Regent Park (72)"
177,1275686,"2014-01-04",2014,"January","Saturday",20,"Person in Crisis","D54","No","No","067","Playter Estates-Danforth (67)"
178,1274859,"2014-01-04",2014,"January","Saturday",17,"Suicide-related","D11","No","No","089","Runnymede-Bloor West Village (89)"
179,1270767,"2014-01-04",2014,"January","Saturday",NA,"Person in Crisis","D32","No","No","NSA","NSA"
180,1275131,"2014-01-04",2014,"January","Saturday",18,"Person in Crisis","D22","Yes","Yes","159","Etobicoke City Centre (159)"
181,1271314,"2014-01-04",2014,"January","Saturday",3,"Person in Crisis","D51","No","No","071","Cabbagetown-South St.James Town (71)"
182,1271103,"2014-01-04",2014,"January","Saturday",1,"Person in Crisis","D52","Yes","Yes","170","Yonge-Bay Corridor (170)"
183,1276135,"2014-01-04",2014,"January","Saturday",22,"Suicide-related","D32","No","No","155","Downsview (155)"
184,1274951,"2014-01-04",2014,"January","Saturday",18,"Person in Crisis","D22","Yes","Yes","160","Mimico-Queensway (160)"
185,1271121,"2014-01-04",2014,"January","Saturday",2,"Person in Crisis","D54","No","No","059","Danforth East York (59)"
186,1274755,"2014-01-04",2014,"January","Saturday",17,"Person in Crisis","D41","No","No","122","Birchcliffe-Cliffside (122)"
187,1272614,"2014-01-04",2014,"January","Saturday",10,"Suicide-related","D43","Yes","Yes","140","Guildwood (140)"
188,1276364,"2014-01-04",2014,"January","Saturday",22,"Person in Crisis","D43","No","No","135","Morningside (135)"
189,1271195,"2014-01-04",2014,"January","Saturday",2,"Person in Crisis","D41","No","No","124","Kennedy Park (124)"
190,1275196,"2014-01-04",2014,"January","Saturday",18,"Person in Crisis","D53","No","No","098","Rosedale-Moore Park (98)"
191,1273972,"2014-01-04",2014,"January","Saturday",14,"Person in Crisis","D11","No","No","084","Little Portugal (84)"
192,1271331,"2014-01-04",2014,"January","Saturday",3,"Suicide-related","D53","No","No","174","South Eglinton-Davisville (174)"
193,1270668,"2014-01-04",2014,"January","Saturday",NA,"Person in Crisis","D51","No","No","074","North St.James Town (74)"
194,1278790,"2014-01-05",2014,"January","Sunday",12,"Person in Crisis","D42","No","No","129","Agincourt North (129)"
195,1277745,"2014-01-05",2014,"January","Sunday",6,"Suicide-related","D43","No","No","142","Woburn North (142)"
196,1281637,"2014-01-05",2014,"January","Sunday",21,"Person in Crisis","D14","No","No","162","West Queen West (162)"
197,1277237,"2014-01-05",2014,"January","Sunday",2,"Person in Crisis","D51","No","No","071","Cabbagetown-South St.James Town (71)"
198,1279055,"2014-01-05",2014,"January","Sunday",12,"Person in Crisis","D31","No","No","025","Glenfield-Jane Heights (25)"
199,1278077,"2014-01-05",2014,"January","Sunday",9,"Person in Crisis","D33","No","No","048","Hillcrest Village (48)"
200,1278172,"2014-01-05",2014,"January","Sunday",9,"Person in Crisis","D22","No","No","159","Etobicoke City Centre (159)"
201,1280034,"2014-01-05",2014,"January","Sunday",16,"Overdose","D23","No","No","001","West Humber-Clairville (1)"
202,1279092,"2014-01-05",2014,"January","Sunday",13,"Person in Crisis","D51","No","No","167","Church-Wellesley (167)"
203,1276725,"2014-01-05",2014,"January","Sunday",NA,"Person in Crisis","D53","Yes","No","041","Bridle Path-Sunnybrook-York Mills (41)"
204,1279280,"2014-01-05",2014,"January","Sunday",13,"Person in Crisis","D23","No","No","005","Elms-Old Rexdale (5)"
205,1278468,"2014-01-05",2014,"January","Sunday",10,"Person in Crisis","D22","Yes","Yes","159","Etobicoke City Centre (159)"
206,1281667,"2014-01-05",2014,"January","Sunday",21,"Person in Crisis","D22","No","No","011","Eringate-Centennial-West Deane (11)"
207,1278862,"2014-01-05",2014,"January","Sunday",12,"Person in Crisis","D14","No","No","163","Fort York-Liberty Village (163)"
208,1276918,"2014-01-05",2014,"January","Sunday",1,"Person in Crisis","D54","Yes","Yes","066","Danforth (66)"
209,1281362,"2014-01-05",2014,"January","Sunday",20,"Person in Crisis","D11","No","No","084","Little Portugal (84)"
210,1276871,"2014-01-05",2014,"January","Sunday",NA,"Suicide-related","D53","No","No","095","Annex (95)"
211,1279651,"2014-01-05",2014,"January","Sunday",14,"Overdose","D51","No","No","074","North St.James Town (74)"
212,1281593,"2014-01-05",2014,"January","Sunday",21,"Person in Crisis","D52","No","No","164","Wellington Place (164)"
213,1278342,"2014-01-05",2014,"January","Sunday",10,"Person in Crisis","D14","No","No","084","Little Portugal (84)"
214,1281560,"2014-01-05",2014,"January","Sunday",21,"Suicide-related","D32","Yes","Yes","035","Westminster-Branson (35)"
215,1277852,"2014-01-05",2014,"January","Sunday",7,"Person in Crisis","D22","No","No","159","Etobicoke City Centre (159)"
216,1276755,"2014-01-05",2014,"January","Sunday",NA,"Overdose","D13","No","No","106","Humewood-Cedarvale (106)"
217,1281845,"2014-01-05",2014,"January","Sunday",22,"Suicide-related","D54","Yes","Yes","066","Danforth (66)"
218,1276995,"2014-01-05",2014,"January","Sunday",1,"Suicide-related","D41","Yes","Yes","138","Eglinton East (138)"
219,1279794,"2014-01-05",2014,"January","Sunday",15,"Person in Crisis","D42","No","No","129","Agincourt North (129)"
220,1280947,"2014-01-05",2014,"January","Sunday",19,"Suicide-related","D53","No","No","095","Annex (95)"
221,1281429,"2014-01-05",2014,"January","Sunday",20,"Person in Crisis","D42","No","No","118","Tam O'Shanter-Sullivan (118)"
222,1280059,"2014-01-05",2014,"January","Sunday",16,"Suicide-related","D53","No","No","098","Rosedale-Moore Park (98)"
223,1279566,"2014-01-05",2014,"January","Sunday",14,"Overdose","D31","Yes","No","027","York University Heights (27)"
224,1280717,"2014-01-05",2014,"January","Sunday",18,"Person in Crisis","D41","No","No","122","Birchcliffe-Cliffside (122)"
225,1280826,"2014-01-05",2014,"January","Sunday",18,"Person in Crisis","D55","No","No","069","Blake-Jones (69)"
226,1278035,"2014-01-05",2014,"January","Sunday",8,"Suicide-related","D31","Yes","No","021","Humber Summit (21)"
227,1280928,"2014-01-05",2014,"January","Sunday",19,"Overdose","D22","Yes","No","018","New Toronto (18)"
228,1279179,"2014-01-05",2014,"January","Sunday",13,"Person in Crisis","D51","No","No","073","Moss Park (73)"
229,1281887,"2014-01-05",2014,"January","Sunday",22,"Person in Crisis","D43","No","No","136","West Hill (136)"
230,1280943,"2014-01-05",2014,"January","Sunday",19,"Suicide-related","D11","Yes","No","090","Junction Area (90)"
231,1280487,"2014-01-05",2014,"January","Sunday",17,"Person in Crisis","D52","Yes","Yes","078","Kensington-Chinatown (78)"
232,1280681,"2014-01-05",2014,"January","Sunday",18,"Person in Crisis","D11","No","No","086","Roncesvalles (86)"
233,1285868,"2014-01-06",2014,"January","Monday",15,"Person in Crisis","D52","Yes","Yes","169","Bay-Cloverhill (169)"
234,1283503,"2014-01-06",2014,"January","Monday",8,"Person in Crisis","D13","No","No","107","Oakwood Village (107)"
235,1287600,"2014-01-06",2014,"January","Monday",21,"Person in Crisis","D54","No","No","062","East End-Danforth (62)"
